Date,Open,High,Low,Close,Volume
2019/4/16,198.69,200.6,197.8,198.49,25795341
2019/4/15,197.82,199.08,197.25,198.47,17604179
2019/4/12,198.44,199.37,195.46,198.11,27867573
2019/4/11,200.08,200.23,197.68,198.19,20981296
2019/4/10,197.92,199.97,197.42,199.85,21778836
2019/4/9,199.55,202.07,198.47,198.73,35905979
2019/4/8,195.67,199.46,195.59,199.33,25981366
2019/4/5,195.7,196.34,195.18,196.24,18597989
2019/4/4,194.04,195.62,192.4,194.94,19187883
2019/4/3,192.51,195.75,192.41,194.6,23361449
2019/4/2,190.36,193.71,190.32,193.28,22853402
2019/4/1,190.9,190.94,187.66,190.51,27969259
2019/3/29,189.1,189.35,187.82,189.22,23654705
2019/3/28,188.23,188.83,186.81,188,20860387
2019/3/27,188.03,189.03,185.83,187.75,29963372
2019/3/26,190.93,192.14,183.87,186.07,49992318
2019/3/25,190.78,191.24,185.88,188.02,44014140
2019/3/22,194.59,196.93,190.05,190.32,42570976
2019/3/21,189.29,195.58,189.08,194.34,51230768
2019/3/20,185.52,188.76,184.02,187.44,31154747
2019/3/19,187.63,188.26,185.21,185.81,31768238
2019/3/18,185.09,187.67,185.08,187.3,26320804
2019/3/15,184.14,186.61,183.04,185.41,39193265
2019/3/14,183.19,183.39,181.86,183.03,23670312
2019/3/13,181.55,182.6,180.23,181.01,31152029
2019/3/12,179.31,181.97,178.68,180.22,32592615
2019/3/11,174.82,178.43,174.68,178.21,32134307
2019/3/8,169.67,172.41,168.85,172.25,24091779
2019/3/7,173.2,173.77,171.36,171.84,24891864
2019/3/6,174,174.82,173.27,173.85,20890524
2019/3/5,175.27,175.32,173.87,174.86,19813427
2019/3/4,175.02,177.07,173.3,175.18,27541859
2019/3/1,173.61,174.48,172.23,174.3,25985854
2019/2/28,173.65,174.24,172.26,172.49,28324073
2019/2/27,172.55,174.33,172.07,174.2,27942582
2019/2/26,173.04,174.63,172.51,173.66,17135948
2019/2/25,173.49,175.2,173.28,173.56,21957591
2019/2/22,170.92,172.34,170.72,172.31,18985988
2019/2/21,171.14,171.71,169.65,170.4,17316098
2019/2/20,170.53,172.66,170.33,171.37,26214927
2019/2/19,169.06,170.78,168.84,170.27,19045890
2019/2/15,170.59,171.04,169.1,169.77,24721651
2019/2/14,169.06,170.61,168.73,170.14,21919836
2019/2/13,170.73,171.82,169.27,169.53,22576842
2019/2/12,169.45,170.34,169.05,170.23,22369336
2019/2/11,170.39,170.55,168.6,168.78,21074270
2019/2/8,168.34,170.01,167.77,169.76,23911696
2019/2/7,171,172.54,168.96,169.56,32000584
2019/2/6,173.23,174.15,171.45,172.83,28469922
2019/2/5,171.46,173.66,170.95,172.77,36396083
2019/2/4,166.06,170.26,165.93,169.87,31752469
2019/2/1,165.61,167.61,164.59,165.17,32934589
2019/1/31,164.77,167.63,163.23,165.09,41071934
2019/1/30,161.93,164.81,158.94,163.91,61608210
2019/1/29,154.98,156.85,152.86,153.43,41926437
2019/1/28,154.52,155.06,152.41,155.03,26405688
2019/1/25,154.23,156.85,153.07,156.49,33821520
2019/1/24,152.86,153.23,150.51,151.47,25649058
2019/1/23,152.9,153.89,150.47,152.67,23319230
2019/1/22,155.14,155.46,151.39,152.06,30641872
2019/1/18,156.23,156.61,154.71,155.55,34026306
2019/1/17,152.95,156.39,152.02,154.59,30064391
2019/1/16,151.85,154.61,151.77,153.69,30819042
2019/1/15,149.06,152.14,148.84,151.84,28944494
2019/1/14,149.63,150.04,148.01,148.79,32703770
2019/1/11,151.65,152.45,150.28,151.06,27243651
2019/1/10,151.27,152.72,149.64,152.55,36072508
2019/1/9,150.06,153.28,148.42,152.07,45466923
2019/1/8,148.35,150.59,147.32,149.53,41359929
2019/1/7,147.49,147.62,144.72,146.73,55224548
2019/1/4,143.36,147.35,142.64,147.06,59085087
2019/1/3,142.82,144.54,140.85,141.04,92056965
2019/1/2,153.64,157.56,152.98,156.65,37341844
2018/12/31,157.24,158.07,155.21,156.47,35288965
2018/12/28,156.23,157.23,153.3,154.96,42636365
2018/12/27,154.57,155.5,148.86,154.88,53550304
2018/12/26,147.1,155.96,145.53,155.9,59060361
2018/12/24,146.95,150.32,145.4,145.64,37472395
2018/12/21,155.59,156.88,148.42,149.51,96525303
2018/12/20,159.11,160.8,154.05,155.56,65301268
2018/12/19,164.66,166.09,157.8,159.59,49447341
2018/12/18,164.04,166.17,163.06,164.73,34117539
2018/12/17,164.11,166.99,161.42,162.61,44649148
2018/12/14,167.63,167.71,163.94,164.14,41035702
2018/12/13,169.11,171.17,168.18,169.57,32157995
2018/12/12,169.02,170.53,167.65,167.73,35918264
2018/12/11,170.27,170.4,165.65,167.27,47667309
2018/12/10,163.67,168.71,162.01,168.23,62531896
2018/12/7,172.09,173.07,166.94,167.13,42626492
2018/12/6,170.37,173.36,169.04,173.3,43449933
2018/12/4,179.49,180.91,174.85,175.27,41681498
2018/12/3,182.97,183.44,179.75,183.32,41130762
2018/11/30,178.83,178.87,175.59,177.14,39853980
2018/11/29,181.18,181.32,176.26,178.09,42110681
2018/11/28,175.3,179.83,173.51,179.48,46438239
2018/11/27,170.12,173.35,169.5,172.83,41724945
2018/11/26,172.83,173.53,168.88,173.2,45365542
2018/11/23,173.52,175.17,170.71,170.89,23816656
2018/11/21,178.27,178.81,175.13,175.35,31378068
2018/11/20,176.93,180.01,174.09,175.54,68378450
2018/11/19,188.46,189.16,183.49,184.36,42262791
2018/11/16,188.96,193.4,187.93,191.96,37229451
2018/11/15,186.87,190.42,185.39,189.86,46857896
2018/11/14,192.33,192.91,184.43,185.29,61296867
2018/11/13,190.08,195.59,189.9,190.68,47265327
2018/11/12,197.39,198.24,192.22,192.6,51552595
2018/11/9,203.88,204.34,200.62,202.82,34646048
2018/11/8,208.28,208.42,205.08,206.8,25569501
2018/11/7,203.59,207.64,201.77,207.53,33814628
2018/11/6,199.59,202.36,199.36,201.41,32255079
2018/11/5,201.94,202.03,195.89,199.26,66936057
2018/11/2,207.13,211.19,203.07,205.09,92394816
2018/11/1,216.53,219.79,214.31,219.65,59004039
2018/10/31,214.38,217.9,214.13,216.34,38806732
2018/10/30,208.72,212.69,206.85,210.84,37087955
2018/10/29,216.67,217.16,203.71,209.79,46471768
2018/10/26,213.41,217.64,210.21,213.81,47810065
2018/10/25,215.19,218.83,214.25,217.26,30204301
2018/10/24,220.03,221.65,212.06,212.6,41402919
2018/10/23,213.34,220.67,212.22,220.16,39220418
2018/10/22,217.25,220.78,216.42,218.1,29128198
